FDP_pd,Player_name,ID,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA,Difference,ranking
0.58,Adam_Mokoka,5893,20200202,chi,tor,0,15.0,102.0,129.0,0,0.0,4.433333333,1.0,1.0,2.4,0.0,0.0,3500.0,2.0,63.1,2.65,0,2,0,0,0,0,0,0,2,0,0,-1.8199999999999998,benchPlayer
4.61,Solomon_Hill,4566,20200131,mem,nor,0,20.0,111.0,139.0,0,1.0,25.7,1.0,1.0,10.1,0.0,0.0,3500.0,3.0,67.16,-1.3,6,3,1,0,0,1,1,2,5,1,2,-5.489999999999999,belowAvg
4.55,Treveon_Graham,4804,20200201,atl,dal,0,20.5,100.0,123.0,0,0.0,20.38333333,1.0,1.0,15.8,0.0,0.0,3500.0,2.0,65.02,-1.05,5,4,0,2,0,0,1,1,2,2,2,-11.25,belowAvg
4.74,Mason_Plumlee,4607,20200120,den,min,0,20.0,107.0,100.0,1,0.0,10.36666667,1.0,1.0,10.8,0.0,0.0,3900.0,5.0,66.57,-14.27,6,4,0,0,0,0,0,3,4,0,0,-6.0600000000000005,belowAvg
8.86,Cheick_Diallo,4957,20200202,pho,mil,0,14.0,108.0,129.0,0,0.0,25.91666667,1.0,1.0,20.9,0.0,0.0,3500.0,4.0,62.28,0.98,11,7,1,0,0,0,0,5,9,1,2,-12.04,average
10.04,Norman_Powell,4792,20200131,tor,det,0,19.0,105.0,92.0,1,0.0,28.85,1.0,1.0,31.9,0.0,0.0,4800.0,2.0,64.97,0.43,12,7,1,3,1,2,0,6,13,0,0,-21.86,advanced
8.22,Semi_Ojeleye,5115,20200201,bos,phi,1,20.5,116.0,95.0,1,0.0,24.35,1.0,1.0,20.0,0.0,0.0,3500.0,3.0,65.43,1.22,11,5,0,1,0,0,1,2,3,6,6,-11.78,belowAvg
7.58,Ty_Jerome,5928,20200131,pho,okc,1,21.0,107.0,111.0,0,0.0,18.85,1.0,1.0,19.8,0.0,0.0,3600.0,2.0,63.28,-0.02,9,4,4,0,0,0,1,4,7,0,0,-12.22,belowAvg
5.96,Luguentz_Dort,5916,20200131,okc,pho,0,21.0,111.0,107.0,1,1.0,26.81666667,1.0,1.0,19.4,0.0,0.0,3800.0,2.0,63.28,1.15,8,2,0,3,0,0,1,3,8,1,2,-13.439999999999998,belowAvg
0.89,Wes_Iwundu,5152,20200201,orl,mia,1,19.0,89.0,102.0,0,0.0,12.98333333,1.0,1.0,2.2,0.0,0.0,3700.0,3.0,66.25,0.0,1,1,0,0,0,0,0,0,2,1,2,-1.31,benchPlayer
0.85,Henry_Ellenson,5009,20200102,bkn,dal,0,20.5,111.0,123.0,0,0.0,1.4333333330000002,1.0,1.0,3.9,0.0,0.0,3500.0,4.0,62.23,2.11,0,2,1,0,0,0,0,0,0,0,0,-3.05,benchPlayer
0.65,Ky_Bowman,5817,20200118,gsw,orl,1,20.5,109.0,95.0,1,0.0,16.63333333,1.0,1.0,2.9,0.0,0.0,3600.0,1.0,68.03,-0.67,0,2,1,1,0,4,0,0,2,0,0,-2.25,benchPlayer
6.95,Cedi_Osman,5116,20200201,cle,gsw,1,20.0,112.0,131.0,0,1.0,21.71666667,1.0,1.0,18.5,0.0,0.0,4600.0,3.0,63.19,0.86,10,0,3,2,0,2,2,4,7,0,0,-11.55,belowAvg
15.85,Collin_Sexton,5721,20200201,cle,gsw,1,20.0,112.0,131.0,0,1.0,33.0,1.0,1.0,39.4,0.0,0.0,6100.0,1.0,63.19,0.86,23,2,4,3,0,1,3,9,16,2,2,-23.549999999999997,advanced
0.29,Theo_Pinson,5732,20200126,bkn,nyk,0,18.0,97.0,110.0,0,0.0,2.6,1.0,1.0,1.2,0.0,0.0,3500.0,2.0,65.52,0.4,0,1,0,0,0,0,0,0,1,0,0,-0.9099999999999999,benchPlayer
10.96,Jae_Crowder,4472,20200131,mem,nor,0,20.0,111.0,139.0,0,1.0,27.76666667,1.0,1.0,27.5,0.0,0.0,4400.0,3.0,67.16,-1.3,15,5,1,2,0,1,0,4,11,7,8,-16.54,average
0.0,Kris_Dunn,4945,20200131,chi,bkn,0,19.5,118.0,133.0,0,1.0,0.216666667,1.0,1.0,0.0,0.0,0.0,5400.0,1.0,67.71,-3.35,0,0,0,0,0,0,0,0,0,0,0,0.0,benchPlayer
4.07,Marvin_Williams,3817,20200201,cha,sas,0,21.0,90.0,114.0,0,1.0,23.61666667,1.0,1.0,15.3,0.0,0.0,3600.0,4.0,64.93,0.64,4,4,1,0,2,1,0,2,5,0,0,-11.23,belowAvg
10.99,Luke_Kennard,5180,20191221,det,chi,1,19.0,107.0,119.0,0,1.0,31.41666667,1.0,1.0,20.3,0.0,0.0,5100.0,3.0,65.61,0.71,16,4,3,0,0,5,4,6,14,0,0,-9.31,average
2.72,Paul_Millsap,3904,20200106,den,atl,0,19.5,123.0,115.0,1,1.0,23.55,1.0,1.0,10.3,0.0,0.0,4800.0,4.0,63.28,-2.85,2,4,1,1,0,1,0,0,3,2,2,-7.58,belowAvg
8.66,Delon_Wright,4791,20200201,dal,atl,1,20.5,123.0,100.0,1,0.0,29.43333333,1.0,1.0,26.5,0.0,0.0,4800.0,2.0,65.02,0.14,9,5,7,1,0,2,1,2,6,4,4,-17.84,average
10.18,Jose_Barea,3882,20200131,dal,hou,0,19.5,121.0,128.0,0,1.0,20.68333333,1.0,1.0,28.5,0.0,0.0,3600.0,1.0,66.66,-4.82,11,5,9,0,0,2,0,4,10,3,3,-18.32,average
9.66,Josh_Okogie,5674,20200201,min,lac,0,15.5,106.0,118.0,0,0.0,26.1,1.0,1.0,21.7,0.0,0.0,3800.0,3.0,66.94,-3.38,13,6,1,1,0,3,1,3,9,6,6,-12.04,average
1.75,Michael_Kidd-Gilchrist,4532,20200110,cha,uta,0,21.0,92.0,109.0,0,0.0,8.35,1.0,1.0,4.7,0.0,0.0,3500.0,3.0,49.13,16.1,2,1,1,0,0,0,0,1,2,0,0,-2.95,benchPlayer
8.24,Joel_Embiid,4762,20200201,phi,bos,0,20.5,95.0,116.0,0,1.0,23.43333333,1.0,1.0,20.5,0.0,0.0,9200.0,5.0,65.43,-0.31,11,5,1,0,2,4,0,1,11,9,9,-12.26,average
1.19,Anzejs_Pasecniks,5957,20200128,was,mil,0,20.0,131.0,151.0,0,0.0,9.483333333,1.0,1.0,2.0,0.0,0.0,3700.0,5.0,65.02,-0.36,2,0,0,0,0,0,0,1,3,0,0,-0.81,benchPlayer
14.58,Tyler_Herro,5914,20200201,mia,orl,0,19.0,102.0,89.0,1,0.0,26.0,1.0,1.0,26.6,0.0,0.0,4200.0,2.0,66.25,0.25,23,3,0,0,0,0,6,7,12,3,3,-12.020000000000001,average
1.56,Johnathan_Williams,5695,20200130,was,cha,1,19.0,121.0,107.0,1,0.0,2.6,1.0,1.0,5.2,0.0,0.0,3700.0,4.0,67.94,-1.59,2,1,0,0,1,1,0,1,1,0,0,-3.64,benchPlayer
0.89,DeMarre_Carroll,4203,20200108,sas,bos,0,19.0,129.0,114.0,1,0.0,1.8,1.0,1.0,2.2,0.0,0.0,3500.0,3.0,66.39,-1.99,1,1,0,0,0,0,0,0,0,1,2,-1.31,benchPlayer
4.71,Dante_Exum,4707,20200201,cle,gsw,1,20.0,112.0,131.0,0,0.0,15.16666667,1.0,1.0,11.1,0.0,0.0,3500.0,1.0,63.19,0.86,6,3,1,0,0,0,0,2,6,2,2,-6.39,belowAvg
10.08,Jordan_McRae,4832,20200126,was,atl,0,18.0,133.0,152.0,0,0.0,17.8,1.0,1.0,30.4,0.0,0.0,4700.0,2.0,62.73,3.51,12,7,2,1,2,2,0,4,10,4,4,-20.32,advanced
