AS,Player_name,ID,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA,ranking
12.0,Damian_Lillard,4523,20200201,por,uta,1,22.5,124.0,107.0,1,1.0,36.31666667,1.0,1.0,73.4,1.0,0.0,10200.0,1.0,67.71,-0.36,51,2,12,1,0,1,9,0,0,8,8,top
4.0,Patty_Mills,4245,20200201,sas,cha,1,21.0,114.0,90.0,1,0.0,18.65,1.0,1.0,26.2,0.0,0.0,4100.0,1.0,64.93,-0.36,11,1,4,3,0,1,3,4,11,0,0,average
7.0,Ricky_Rubio,4414,20200131,pho,okc,1,21.0,107.0,111.0,0,1.0,29.58333333,1.0,1.0,23.9,0.0,0.0,5500.0,1.0,63.28,-0.02,8,2,7,2,0,3,1,2,8,3,4,average
1.0,Khem_Birch,4696,20200201,orl,mia,1,19.0,89.0,102.0,0,1.0,16.53333333,1.0,1.0,6.3,0.0,0.0,3800.0,4.0,66.25,0.0,0,4,1,0,0,0,0,0,1,0,0,benchPlayer
-0.0,Frank_Jackson,5168,20200131,nor,mem,1,20.0,139.0,111.0,1,0.0,6.416666667,1.0,1.0,0.2,0.0,0.0,3500.0,1.0,67.16,-0.91,0,1,0,0,0,1,0,0,1,0,0,benchPlayer
8.0,Fred_VanVleet,4934,20200202,tor,chi,1,15.0,129.0,102.0,1,1.0,32.21666667,1.0,1.0,28.8,0.0,0.0,7300.0,2.0,63.1,1.34,12,4,8,1,0,3,2,5,11,0,0,average
-0.0,Amile_Jefferson,5210,20200127,orl,mia,0,19.5,92.0,113.0,0,0.0,2.516666667,1.0,1.0,3.0,0.0,0.0,3500.0,4.0,66.34,0.03,0,0,0,1,0,0,0,0,0,0,0,benchPlayer
-0.0,Jared_Harper,5923,20200202,pho,mil,0,14.0,108.0,129.0,0,0.0,2.35,1.0,1.0,0.0,0.0,0.0,3500.0,1.0,62.28,0.98,0,0,0,0,0,0,0,0,1,0,0,benchPlayer
-0.0,Vlatko_Cancar,5941,20200124,den,nor,0,20.0,113.0,106.0,1,0.0,1.083333333,1.0,1.0,1.2,0.0,0.0,3500.0,3.0,67.3,-7.32,0,1,0,0,0,0,0,0,1,0,0,benchPlayer
-0.0,Ed_Davis,4276,20200201,uta,por,0,22.5,107.0,124.0,0,0.0,13.28333333,1.0,1.0,8.8,0.0,0.0,3500.0,4.0,67.71,-15.62,4,4,0,0,0,0,0,2,2,0,0,benchPlayer
