ID,Player_name,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA
5837,Brandon_Clarke,20200120,mem,nor,1,17.0,116.0,126.0,0,0.0,23.43333333,1.0,1.0,11.8,0.0,0.0,4900.0,4.0,67.57,-1.11,4,4,2,0,0,0,0,2,4,0,0
5837,Brandon_Clarke,20200117,mem,cle,1,20.0,113.0,109.0,1,0.0,25.31666667,1.0,1.0,27.9,0.0,0.0,4800.0,4.0,66.2,-0.41,15,2,3,0,2,0,1,6,8,2,2
5837,Brandon_Clarke,20200114,mem,hou,1,20.0,121.0,110.0,1,0.0,23.93333333,1.0,1.0,25.4,0.0,0.0,4900.0,4.0,65.7,-0.12,14,7,2,1,0,3,0,6,7,2,2
5837,Brandon_Clarke,20200112,mem,gsw,1,18.0,122.0,102.0,1,0.0,18.76666667,1.0,1.0,30.2,0.0,0.0,4500.0,4.0,65.98,-0.4,9,11,2,1,1,1,0,2,8,5,6
5837,Brandon_Clarke,20200110,mem,sas,1,20.0,134.0,121.0,1,0.0,23.25,1.0,1.0,35.8,0.0,0.0,4500.0,4.0,65.06,0.24,10,9,4,1,2,0,0,3,5,4,4
5837,Brandon_Clarke,20200107,mem,min,1,20.0,119.0,112.0,1,0.0,17.58333333,1.0,1.0,14.3,0.0,0.0,4800.0,4.0,66.66,-1.43,6,4,1,0,1,1,0,2,4,2,2
5837,Brandon_Clarke,20200105,mem,pho,0,20.0,121.0,114.0,1,0.0,21.5,1.0,1.0,21.4,0.0,0.0,5000.0,4.0,62.78,3.55,10,7,0,0,1,0,0,5,7,0,1
5837,Brandon_Clarke,20200104,mem,lac,0,15.5,140.0,114.0,1,0.0,17.75,1.0,1.0,16.7,0.0,0.0,5000.0,4.0,67.3,-4.02,8,6,1,0,0,0,0,3,8,2,2
5837,Brandon_Clarke,20200102,mem,sac,0,22.0,123.0,128.0,0,0.0,19.58333333,1.0,1.0,18.7,0.0,0.0,5100.0,4.0,66.75,-8.58,8,6,1,1,0,1,0,3,5,2,2
5837,Brandon_Clarke,20191229,mem,cha,1,20.0,117.0,104.0,1,0.0,25.08333333,1.0,1.0,37.3,0.0,0.0,4900.0,4.0,63.83,-5.66,18,4,3,1,3,2,1,7,12,3,3
5837,Brandon_Clarke,20191228,mem,den,0,17.0,110.0,119.0,0,0.0,22.66666667,1.0,1.0,27.9,0.0,0.0,4900.0,4.0,44.33,20.34,15,2,5,0,1,0,0,6,8,3,4
5837,Brandon_Clarke,20191226,mem,okc,0,20.0,110.0,97.0,1,0.0,19.28333333,1.0,1.0,24.8,0.0,0.0,5100.0,4.0,63.37,2.49,13,4,2,1,1,2,2,5,6,1,2
5837,Brandon_Clarke,20191223,mem,sas,1,20.0,115.0,145.0,0,0.0,21.1,1.0,1.0,15.3,0.0,0.0,5500.0,4.0,65.52,0.34,10,4,1,0,0,1,0,5,9,0,0
