Player_Name,Team,Win,Start,Minutes,FDP,DoubleD,TripleD,FD_Sal,FD_pos,ADI,VMI,pt,rb,as,st,bl,to,trey,fg,FGM,FG%,ft,FTM,FT%,ranking
Mike Conley,uta,Lose,1,30.01666667,31.8,0,0,3700,1,67.71,-15.62,22,4,4,0,0,1,4,20-Sep,9,0,0,0,0,Advanced
Mike Muscala,okc,Win,0,1.516666667,0,0,0,3600,4,66.71,-3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Mike Scott,phi,Lose,0,17.33333333,12.5,0,0,3500,4,65.43,-0.31,6,5,1,0,0,1,0,6-Feb,2,0.333333333,2-Feb,2,1,Average
Miles Bridges,cha,Lose,1,36.75,39.2,0,0,4800,3,64.93,0.64,25,6,2,0,2,2,4,0,0,0,2-Jan,1,0.5,Advanced
Mitchell Robinson,nyk,Win,0,19.35,15.4,0,0,5400,5,63.6,2.37,4,7,2,0,0,0,0,2-Feb,2,0,0,0,0,Average
Miye Oni,uta,Win,0,3.883333333,1.2,0,0,3500,2,47.39,1.53,0,1,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Mohamed Bamba,orl,Lose,0,13.83333333,16.8,0,0,3800,5,66.25,0,4,4,0,0,3,1,0,3-Feb,2,0,0,0,0,Average
Monte Morris,den,Lose,1,39.08333333,40.9,0,0,4300,1,61.82,-6.49,19,7,7,1,0,0,2,15-Aug,8,0.533333333,1-Jan,1,1,Advanced
Montrezl Harrell,lac,Win,0,26.38333333,26.2,0,0,6800,5,66.94,-0.42,16,6,0,1,1,3,0,13-Aug,8,0,0,0,0,AboveAVG
Moritz Wagner,was,Lose,1,25.73333333,23.7,0,0,6000,5,64.29,3.27,9,6,3,0,1,0,0,7-Mar,3,0.428571429,3-Mar,3,1,AboveAVG
Moses Brown,por,Win,0,2.25,0.2,0,0,3500,5,65.89,-0.11,0,1,0,0,0,1,0,0,0,0,0,0,0,belowAVG
Myles Turner,ind,Lose,1,33.63333333,21.7,0,0,5200,5,63.6,0.76,12,6,1,1,0,2,4,5-Apr,4,0,0,0,0,AboveAVG
Nassir Little,por,Win,0,12.93333333,8.2,0,0,3500,3,67.71,-0.36,7,1,0,0,0,0,1,3-Mar,3,0,0,0,0,belowAVG
Naz Reid,min,Lose,0,2.2,-1,0,0,3600,4,66.94,-3.38,0,0,0,0,0,1,0,0,0,0,0,0,0,belowAVG
Nazareth Mitrou-Long,ind,Win,0,25.55,22.1,0,0,3500,2,64.83,0.99,12,3,3,1,0,1,2,10-May,5,0,0,0,0,AboveAVG
Nemanja Bjelica,sac,Lose,1,30.08333333,19.1,0,0,5500,4,67.12,-0.28,9,3,3,0,1,1,3,8-Mar,3,0,0,0,0,Average
Nerlens Noel,okc,Win,0,25.15,31.9,0,0,4400,4,63.28,1.15,10,7,3,2,1,0,0,7-May,5,0,0,0,0,Advanced
Nickeil Alexander-Walker,nor,Win,0,5.85,2.7,0,0,3500,2,67.16,-0.91,0,1,1,1,0,3,0,0-3,0,0,0,0,0,belowAVG
Nicolas Batum,cha,Lose,1,33.53333333,19.7,0,0,3800,3,63.69,-1.12,5,6,5,0,0,0,0,8-Jan,1,0.125,4-Mar,3,0.75,Average
Nicolas Claxton,bkn,Lose,0,13.76666667,13,0,0,4000,4,65.52,0.4,4,5,2,0,0,0,0,1-Jan,1,1,4-Feb,2,0.5,Average
Nicolo Melli,nor,Lose,0,12.15,11.8,0,0,3500,4,66.62,-0.37,2,4,0,1,1,1,0,4-Jan,1,0,0,0,0,Average
Nigel Williams-Goss,uta,Win,0,3.6,4.7,0,0,3500,1,46.8,8.24,2,1,1,0,0,0,0,2-Jan,1,0,0,0,0,belowAVG
Nikola Jokic,den,Lose,1,39.75,80.5,1,1,10000,5,61.82,-6.49,39,10,11,3,2,2,1,0,0,0,7-Jun,6,0.857142857, Top
Nikola Vucevic,orl,Lose,1,34.16666667,42.8,0,0,8100,5,66.25,0,21,9,4,0,2,1,1,0,0,0,0,0,0,Advanced
Noah Vonleh,min,Lose,0,0.016666667,0,0,0,3500,4,63.97,-0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Norman Powell,tor,Win,0,28.85,31.9,0,0,4800,2,64.97,0.43,12,7,1,3,1,2,0,13-Jun,6,0,0,0,0,Advanced
Norvel Pelle,phi,Lose,0,11.75,10.8,0,0,3500,4,67.3,0,1,4,0,0,2,1,0,0-2,0,0,2-Jan,1,0.5,Average
OG Anunoby,tor,Win,1,21.05,13.4,0,0,4300,3,63.1,1.34,4,7,0,1,0,2,0,3-Feb,2,0,0,0,0,Average
Omari Spellman,gsw,Win,0,22.7,20.5,0,0,3800,4,63.19,4.07,12,5,1,1,0,2,1,8-Apr,4,0.5,3-Mar,3,1,AboveAVG
Oshae Brissett,tor,Win,0,3.2,5.2,0,0,3500,3,63.1,1.34,2,1,0,1,0,1,0,1-Jan,1,0,0,0,0,belowAVG
Otto Porter,chi,Win,1,11.81666667,29.8,0,0,5000,3,63.92,1,13,4,2,2,1,0,3,6-May,5,0,0,0,0,AboveAVG
P.J. Tucker,hou,Win,1,38.7,12.8,0,0,4300,4,66.62,0.19,0,9,0,1,0,1,0,0-5,0,0,0,0,0,Average
P.J. Washington,cha,Lose,1,22.68333333,19.7,0,0,5300,4,67.94,-3.83,15,1,1,1,0,1,0,10-Jul,7,0.7,4-Jan,1,0.25,Average
Pascal Siakam,tor,Win,1,27.98333333,33.3,0,0,8500,3,63.1,1.34,17,9,5,0,0,2,0,14-Jun,6,0.428571429,5-May,5,1,Advanced
Pat Connaughton,mil,Win,0,19.76666667,23.9,0,0,3500,2,62.28,1.4,8,7,3,0,1,0,2,4-Mar,3,0,0,0,0,AboveAVG
Patrick Beverley,lac,Win,1,27.35,28,0,0,4800,1,66.94,-0.42,12,5,4,1,1,2,2,10-May,5,0,0,0,0,AboveAVG
Patrick McCaw,tor,Win,0,22.95,18.4,0,0,3600,2,63.1,1.34,10,2,2,1,0,0,2,5-Mar,3,0.6,2-Feb,2,1,Average
Patrick Patterson,lac,Win,0,2.2,0,0,0,3500,4,66.94,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Patty Mills,sas,Win,0,18.65,26.2,0,0,4100,1,64.93,-0.36,11,1,4,3,0,1,3,11-Apr,4,0,0,0,0,AboveAVG
Paul George,lac,Win,1,25.16666667,40.4,0,0,7800,3,66.94,-0.42,21,7,2,2,1,1,3,18-Sep,9,0,0,0,0,Advanced
Paul Millsap,den,Win,1,23.55,10.3,0,0,4800,4,63.28,-2.85,2,4,1,1,0,1,0,0-3,0,0,2-Feb,2,1,Average
Paul Watson,tor,Win,0,3.2,3.7,0,0,3500,2,63.1,1.34,1,1,1,0,0,0,0,0,0,0,2-Jan,1,0.5,belowAVG
PJ Dozier,den,Lose,0,13.5,9.3,0,0,3500,2,61.82,-6.49,5,4,1,0,0,2,0,7-Feb,2,0.285714286,2-Jan,1,0.5,belowAVG
Quinn Cook,lal,Win,0,3.333333333,5,0,0,3700,1,67.12,-0.68,5,0,0,0,0,0,1,2-Feb,2,0,0,0,0,belowAVG
Rajon Rondo,lal,Win,0,26.66666667,33.6,0,0,4000,1,67.12,-0.68,13,3,8,2,0,1,1,11-Jun,6,0,0,0,0,Advanced
Raul Neto,phi,Lose,0,10.56666667,6.3,0,0,3800,1,65.43,-0.31,1,4,1,0,0,1,0,0-3,0,0,2-Jan,1,0.5,belowAVG
Rayjon Tucker,uta,Lose,0,2.65,3.2,0,0,3500,1,67.71,-15.62,2,1,0,0,0,0,0,1-Jan,1,0,0,0,0,belowAVG
Reggie Bullock,nyk,Win,1,24.8,12.8,0,0,3800,2,63.6,2.37,7,4,2,0,0,2,1,7-Feb,2,0.285714286,2-Feb,2,1,Average
Reggie Jackson,det,Win,0,34.15,32.6,0,0,4600,1,61.82,1.91,20,3,6,0,0,0,2,18-Aug,8,0.444444444,2-Feb,2,1,Advanced
Richaun Holmes,sac,Win,1,20.13333333,19.3,0,0,6700,4,67.71,-0.21,7,4,1,1,2,3,0,5-Mar,3,0.6,1-Jan,1,1,Average
Ricky Rubio,pho,Lose,1,29.58333333,23.9,0,0,5500,1,63.28,-0.02,8,2,7,2,0,3,1,8-Feb,2,0.25,4-Mar,3,0.75,AboveAVG
RJ Barrett,nyk,Lose,1,14.16666667,12.6,0,0,5900,2,66.89,-0.59,7,3,2,0,0,1,1,8-Feb,2,0.25,4-Feb,2,0.5,Average
Robert Covington,min,Lose,1,35.06666667,31,0,0,5400,4,66.94,-3.38,12,5,0,3,2,2,1,7-Mar,3,0.428571429,6-May,5,0.833333333,Advanced
Robert Williams,bos,Win,0,12.55,6.6,0,0,3700,5,66.39,-0.61,0,3,0,1,0,0,0,0-1,0,0,0,0,0,belowAVG
Robin Lopez,mil,Win,0,12.56666667,13.5,0,0,3500,5,62.28,1.4,0,5,3,1,0,0,0,0-1,0,0,0,0,0,Average
Rodions Kurucs,bkn,Win,0,2.316666667,0.5,0,0,3700,4,67.71,-0.55,0,0,1,0,0,1,0,0,0,0,0,0,0,belowAVG
Rodney Hood,por,Lose,1,8.55,6.9,0,0,4100,3,65.7,0.39,0,2,1,1,0,0,0,0-1,0,0,0,0,0,belowAVG
Rodney McGruder,lac,Win,0,12.43333333,8.6,0,0,3500,2,66.94,-0.42,0,3,0,2,0,1,0,0-1,0,0,0,0,0,belowAVG
Romeo Langford,bos,Win,0,3.633333333,3.7,0,0,3500,2,65.43,1.22,1,1,1,0,0,0,0,0,0,0,2-Jan,1,0.5,belowAVG
