Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Trevor Ariza,SF,30.0,HOU,81.0,81.0,35.3,4.4,10.6,0.41600000000000004,2.3,6.2,0.371,2.1,4.4,.478,0.523,1.6,2.0,0.7829999999999999,0.8,3.7,4.5,2.3,2.0,0.3,1.4,2.2,12.7,SF,30.0,81.0,2859,12.9,0.551,.581,.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,,3.1,2.3,5.4,.090,,1.2,0.3,1.5,2.5
Darrell Arthur,PF,27.0,DEN,70.0,16.0,21.7,3.2,7.0,0.452,0.6,1.7,0.385,2.5,5.3,.473,0.498,0.6,0.8,0.755,1.2,3.0,4.2,1.4,0.8,0.7,0.9,2.6,7.5,PF,27.0,70.0,1516,12.5,0.514,.239,.108,6.2,15.4,10.7,10.0,1.8,2.6,11.4,16.7,,1.0,1.3,2.3,.072,,-1.2,0.8,-0.3,0.6
Ömer Aşık,C,29.0,NOP,68.0,64.0,17.3,1.5,2.9,0.5329999999999999,0.0,0.0,0.0,1.5,2.9,.533,0.5329999999999999,0.9,1.6,0.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4.0,C,29.0,68.0,1178,11.0,0.551,.000,.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,,0.7,1.0,1.7,.070,,-4.0,-0.2,-4.2,-0.7
D.J. Augustin,PG,28.0,TOT,62.0,0.0,19.0,2.4,5.6,0.423,1.1,2.7,0.405,1.3,2.9,.440,0.52,1.7,2.1,0.805,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,7.5,PG,28.0,62.0,1178,13.9,0.575,.480,.366,0.8,8.0,4.4,25.3,1.6,0.3,17.1,18.0,,2.0,0.6,2.6,.106,,1.0,-2.7,-1.7,0.1
D.J. Augustin,PG,28.0,OKC,34.0,0.0,15.3,1.4,3.6,0.38,0.7,1.8,0.39299999999999996,0.6,1.8,.367,0.479,0.8,1.0,0.765,0.1,1.1,1.3,1.9,0.4,0.1,0.9,1.2,4.2,PG,28.0,34.0,519,8.7,0.522,.504,.281,1.1,7.6,4.5,16.7,1.2,0.3,18.1,13.6,,0.4,0.3,0.7,.065,,-1.4,-1.9,-3.3,-0.2
D.J. Augustin,PG,28.0,DEN,28.0,0.0,23.5,3.6,8.2,0.445,1.6,3.8,0.41100000000000003,2.1,4.4,.475,0.541,2.8,3.4,0.8190000000000001,0.1,1.8,1.9,4.7,0.9,0.1,1.9,1.6,11.6,PG,28.0,28.0,659,18.0,0.601,.467,.410,0.5,8.4,4.4,32.0,1.9,0.2,16.6,21.5,,1.6,0.3,1.9,.139,,2.8,-3.3,-0.5,0.3
Jeff Ayres,C,28.0,LAC,17.0,0.0,6.3,0.7,1.4,0.522,0.0,0.1,0.0,0.7,1.3,.545,0.522,0.4,0.4,1.0,0.2,1.1,1.3,0.3,0.0,0.2,0.4,1.1,1.8,C,28.0,17.0,107,8.3,0.585,.043,.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,,0.1,0.1,0.2,.077,,-4.7,0.1,-4.6,-0.1
Luke Babbitt,SF,26.0,NOP,47.0,13.0,18.0,2.6,6.1,0.42200000000000004,0.9,2.3,0.40399999999999997,1.7,3.8,.433,0.498,0.8,1.1,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7.0,SF,26.0,47.0,845,11.6,0.526,.377,.173,3.2,16.7,9.7,9.6,0.6,0.7,6.9,17.5,,0.8,0.3,1.1,.064,,-0.9,-2.0,-2.9,-0.2
Cameron Bairstow,C,25.0,CHI,18.0,2.0,5.7,0.7,2.2,0.325,0.1,0.3,0.2,0.7,1.9,.343,0.33799999999999997,0.4,0.4,0.875,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,1.9,C,25.0,18.0,103,6.8,0.391,.125,.200,4.2,24.0,14.3,8.7,1.0,2.1,8.4,20.3,,-0.1,0.1,0.0,-0.004,,-6.9,-0.8,-7.7,-0.1
Leandro Barbosa,SG,33.0,GSW,68.0,0.0,15.9,2.5,5.4,0.462,0.6,1.6,0.355,1.9,3.8,.508,0.515,0.8,0.9,0.8390000000000001,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4,SG,33.0,68.0,1079,11.7,0.545,.297,.168,3.0,8.4,5.8,10.6,2.0,0.7,11.8,18.1,,0.9,1.2,2.1,.092,,-1.2,-0.9,-2.1,0.0
