,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
33,Kent Bazemore,SF-SG,30.0,TOT,51.0,21.0,24.8,2.6,7.4,0.35,1.2,3.7,0.32299999999999995,1.4,3.7,.378,0.431,1.5,1.8,0.7959999999999999,0.4,3.6,4.0,1.3,1.1,0.7,1.4,2.8,7.8,SF-SG,30.0,51.0,1265,8.0,0.47700000000000004,.501,.247,1.8,14.9,8.4,7.1,2.0,2.3,14.5,16.5,,-1.1,1.1,0.0,.000,,-3.2,0.6,-2.6,-0.2
34,Kent Bazemore,SF,30.0,POR,43.0,21.0,25.8,2.6,7.6,0.34700000000000003,1.3,4.0,0.327,1.3,3.6,.368,0.433,1.3,1.7,0.8059999999999999,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9,SF,30.0,43.0,1111,7.6,0.475,.525,.221,1.2,14.5,8.0,7.2,1.9,2.3,14.4,15.9,,-1.0,0.9,-0.1,-0.003,,-3.1,0.7,-2.5,-0.1
35,Kent Bazemore,SG,30.0,SAC,8.0,0.0,19.3,2.4,6.4,0.373,0.6,2.3,0.278,1.8,4.1,.424,0.42200000000000004,2.0,2.6,0.762,1.0,2.9,3.9,0.9,1.1,0.4,1.4,2.6,7.4,SG,30.0,8.0,154,10.3,0.49,.353,.412,5.7,17.4,11.4,6.5,2.9,1.9,15.4,20.2,,-0.1,0.2,0.1,.025,,-4.2,0.3,-3.9,-0.1
36,Darius Bazley,PF,19.0,OKC,52.0,8.0,17.4,1.7,4.4,0.382,0.6,1.9,0.3,1.1,2.5,.445,0.447,0.6,0.9,0.6890000000000001,0.4,3.4,3.8,0.6,0.4,0.7,0.8,0.9,4.5,PF,19.0,52.0,906,8.1,0.474,.439,.197,2.7,20.6,12.0,4.4,1.1,3.3,13.9,14.0,,-0.8,1.2,0.4,.023,,-5.0,1.3,-3.7,-0.4
37,Bradley Beal,SG,26.0,WAS,43.0,43.0,35.7,9.9,21.9,0.45299999999999996,2.6,7.9,0.326,7.3,13.9,.526,0.512,6.8,8.0,0.846,1.0,3.5,4.5,6.3,1.0,0.4,3.2,2.2,29.2,SG,26.0,43.0,1533,22.8,0.575,.363,.366,2.9,11.1,6.9,29.3,1.3,0.9,11.3,33.3,,3.8,0.0,3.7,.117,,5.1,-3.2,1.9,1.5
38,Malik Beasley,SG,23.0,DEN,41.0,0.0,18.2,2.9,7.3,0.389,1.4,3.9,0.36,1.4,3.4,.421,0.485,0.8,0.9,0.868,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2,7.9,SG,23.0,41.0,746,10.6,0.511,.535,.126,1.3,10.1,5.7,9.2,2.1,0.7,10.2,20.4,,-0.1,0.8,0.7,.046,,-1.8,-1.4,-3.2,-0.2
39,Marco Belinelli,SG,33.0,SAS,45.0,0.0,15.0,2.0,5.2,0.379,1.0,2.8,0.359,1.0,2.4,.402,0.47700000000000004,0.7,0.9,0.78,0.1,1.6,1.7,1.3,0.2,0.0,0.3,0.8,5.7,SG,33.0,45.0,675,9.8,0.506,.545,.174,0.5,11.3,5.9,11.8,0.6,0.0,5.2,17.1,,0.3,0.1,0.4,.032,,-1.2,-3.4,-4.6,-0.4
40,Jordan Bell,C,25.0,MIN,27.0,0.0,8.7,1.2,2.2,0.5329999999999999,0.1,0.3,0.222,1.1,1.9,.588,0.55,0.6,1.1,0.586,1.0,1.9,2.9,0.5,0.1,0.4,0.7,0.6,3.1,C,25.0,27.0,235,14.3,0.57,.150,.483,12.1,23.0,17.4,8.8,0.4,3.5,19.8,16.0,,0.2,0.2,0.4,.077,,-3.6,0.4,-3.2,-0.1
41,DeAndre' Bembry,SG,25.0,ATL,43.0,4.0,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,.546,0.489,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8,SG,25.0,43.0,915,9.7,0.5,.285,.211,4.0,14.0,8.9,12.4,2.8,1.7,19.4,14.0,,-0.5,0.8,0.3,.015,,-3.5,1.4,-2.1,0.0
42,Dragan Bender,SF,22.0,MIL,7.0,0.0,13.0,1.4,3.0,0.47600000000000003,0.6,1.3,0.444,0.9,1.7,.500,0.5710000000000001,0.3,0.4,0.667,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7,SF,22.0,7.0,91,8.5,0.5820000000000001,.429,.143,0.0,20.3,10.8,12.3,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,.108,,-4.2,2.5,-1.6,0.0
43,Dāvis Bertāns,PF,27.0,WAS,41.0,4.0,29.4,4.9,11.1,0.43700000000000006,3.6,8.4,0.43200000000000005,1.2,2.7,.455,0.601,1.8,2.0,0.867,0.8,4.0,4.7,1.8,0.7,0.7,0.9,2.5,15.1,PF,27.0,41.0,1205,16.0,0.63,.758,.182,2.7,15.2,8.7,8.7,1.1,1.9,7.2,18.2,,2.6,0.2,2.8,.111,,3.6,-2.3,1.3,1.0
44,Patrick Beverley,PG,31.0,LAC,40.0,40.0,28.0,3.1,7.3,0.43,1.6,4.4,0.364,1.5,2.9,.530,0.54,0.6,1.0,0.632,1.3,4.5,5.8,4.0,1.2,0.6,1.4,3.2,8.5,PG,31.0,40.0,1121,13.1,0.5489999999999999,.605,.131,4.8,16.1,10.6,18.9,2.1,2.0,14.9,13.3,,1.3,1.8,3.1,.133,,1.0,3.0,4.0,1.7
45,Khem Birch,C,27.0,ORL,37.0,24.0,20.5,1.4,2.9,0.48100000000000004,0.0,0.0,0.0,1.4,2.9,.486,0.48100000000000004,1.1,1.8,0.612,1.8,2.9,4.8,0.9,0.4,0.5,0.6,1.9,3.9,C,27.0,37.0,760,10.1,0.527,.009,.620,9.2,15.7,12.3,6.4,1.0,2.4,14.3,9.2,,0.6,0.9,1.5,.097,,-3.4,2.1,-1.3,0.1
46,Goga Bitadze,C,20.0,IND,41.0,2.0,8.8,1.2,2.6,0.47700000000000004,0.1,0.6,0.16,1.1,2.0,.573,0.495,0.5,0.7,0.69,0.5,1.6,2.1,0.5,0.1,0.7,0.5,1.2,3.1,C,20.0,41.0,359,11.9,0.526,.234,.271,6.8,20.1,13.4,7.3,0.4,6.6,14.9,17.3,,0.0,0.5,0.5,.069,,-4.2,2.0,-2.2,0.0
47,Bismack Biyombo,C,27.0,CHO,43.0,25.0,19.1,2.9,5.4,0.537,0.0,0.0,0.0,2.9,5.4,.537,0.537,1.7,2.7,0.619,2.3,3.5,5.9,0.8,0.2,0.8,0.9,2.2,7.5,C,27.0,43.0,822,16.2,0.5670000000000001,.000,.511,12.7,21.1,16.7,7.0,0.5,4.0,11.8,17.1,,1.3,0.6,1.9,.109,,-2.4,0.1,-2.3,-0.1
48,Nemanja Bjelica,PF,31.0,SAC,51.0,48.0,28.4,4.6,9.5,0.486,2.0,4.6,0.444,2.6,4.9,.524,0.593,0.9,1.1,0.857,1.6,4.7,6.3,2.8,0.9,0.6,1.5,3.1,12.2,PF,31.0,51.0,1447,16.4,0.611,.481,.115,6.4,19.2,12.6,15.0,1.5,2.0,13.0,17.7,,2.7,1.4,4.1,.135,,2.0,0.9,2.9,1.8
49,Eric Bledsoe,PG,30.0,MIL,43.0,43.0,26.9,5.7,11.8,0.479,1.2,3.6,0.34600000000000003,4.4,8.3,.537,0.531,2.8,3.4,0.815,0.8,3.9,4.7,5.3,0.9,0.5,2.3,2.1,15.3,PG,30.0,43.0,1155,18.6,0.5760000000000001,.301,.287,3.0,13.4,8.6,27.8,1.6,1.6,14.6,23.9,,2.1,2.1,4.2,.175,,1.1,1.1,2.1,1.2
50,Bogdan Bogdanović,SG,27.0,SAC,40.0,7.0,28.3,5.4,12.3,0.439,2.7,7.1,0.382,2.7,5.2,.517,0.5489999999999999,1.4,2.0,0.688,0.3,2.8,3.1,3.2,1.0,0.3,1.9,2.1,14.8,SG,27.0,40.0,1132,14.7,0.565,.578,.163,1.3,11.5,6.2,18.0,1.7,0.8,12.3,23.1,,0.9,0.8,1.7,.073,,1.3,-1.7,-0.4,0.4
51,Bojan Bogdanović,SF,30.0,UTA,50.0,50.0,33.2,7.0,15.4,0.45399999999999996,3.2,7.6,0.425,3.8,7.8,.483,0.5589999999999999,4.0,4.5,0.897,0.6,3.5,4.1,2.0,0.6,0.1,2.6,1.7,21.2,SF,30.0,50.0,1662,16.6,0.611,.493,.290,2.0,11.1,6.7,9.8,0.9,0.3,13.1,26.2,,2.4,1.5,4.0,.114,,1.9,-1.7,0.2,0.9
52,Jonah Bolden,PF,24.0,PHI,4.0,0.0,3.5,0.5,0.8,0.667,0.0,0.3,0.0,0.5,0.5,1.000,0.667,0.0,0.5,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0,PF,24.0,4.0,14,-2.0,0.515,.333,.667,0.0,7.8,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.140,,-10.0,-1.1,-11.1,0.0
53,Marques Bolden,C,21.0,CLE,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,C,21.0,1.0,3,19.9,0.0,,,0.0,74.4,36.9,0.0,16.2,0.0,,0.0,,0.0,0.0,0.0,.278,,-8.5,10.7,2.2,0.0
54,Jordan Bone,PG,22.0,DET,8.0,0.0,4.5,0.3,1.8,0.14300000000000002,0.0,0.8,0.0,0.3,1.0,.250,0.14300000000000002,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.1,0.0,0.3,0.8,0.5,PG,22.0,8.0,36,-8.3,0.14300000000000002,.429,.000,0.0,3.2,1.6,18.0,1.4,0.0,12.5,19.2,,-0.2,0.0,-0.2,-0.286,,-12.6,-4.7,-17.3,-0.1
55,Isaac Bonga,SF,20.0,WAS,45.0,30.0,17.8,1.7,3.2,0.531,0.3,0.8,0.395,1.4,2.3,.581,0.584,0.9,1.1,0.765,1.1,2.1,3.2,1.1,0.7,0.3,0.7,2.4,4.6,SF,20.0,45.0,799,10.7,0.623,.266,.357,6.5,13.4,9.8,7.6,1.8,1.6,16.2,10.3,,1.0,0.2,1.2,.073,,-0.7,-0.2,-0.8,0.2
56,Devin Booker,SG,23.0,PHO,49.0,49.0,35.9,9.1,18.0,0.507,2.0,5.3,0.366,7.2,12.7,.566,0.561,6.6,7.2,0.9179999999999999,0.5,3.7,4.2,6.3,0.7,0.2,3.9,3.1,26.9,SG,23.0,49.0,1760,21.1,0.633,.296,.399,1.6,11.5,6.4,29.3,1.0,0.6,15.7,29.7,,4.4,1.1,5.5,.150,,4.1,-1.9,2.2,1.9
57,Chris Boucher,PF,27.0,TOR,44.0,0.0,12.9,2.2,4.8,0.462,0.5,1.7,0.289,1.7,3.0,.560,0.514,1.5,1.9,0.762,1.8,2.6,4.4,0.5,0.4,0.9,0.4,1.8,6.4,PF,27.0,44.0,569,20.5,0.5670000000000001,.362,.400,14.7,20.7,17.7,5.2,1.4,6.5,6.4,19.9,,1.4,1.2,2.6,.221,,0.4,1.9,2.3,0.6
58,Brian Bowen,SG,21.0,IND,3.0,0.0,3.3,0.3,1.3,0.25,0.0,0.3,0.0,0.3,1.0,.333,0.25,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.7,SG,21.0,3.0,10,1.0,0.25,.250,.000,0.0,11.1,5.5,0.0,0.0,8.8,0.0,17.6,,0.0,0.0,0.0,-0.152,,-12.7,-0.5,-13.2,0.0
