Name,Last,First,Player_Name,GID,Date,Starter,FD_Pts,FD_Sal,Pos,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
Tatum Jayson,Tatum,Jayson,Jayson Tatum,5111,20200209,1,39.7,"8,500",PF,bos,A,okc,112,111,34.75,26pt 11rb 1as 1bl 4to 4trey 10-19fg 2-4ft
George Paul,George,Paul,Paul George,4283,20200209,1,38.2,"8,600",SF,lac,A,cle,133,92,24.2,22pt 6rb 4as 1st 1bl 3to 5trey 8-12fg 1-1ft
Theis Daniel,Theis,Daniel,Daniel Theis,5114,20200209,1,33.7,"4,700",PF,bos,A,okc,112,111,30.45,13pt 11rb 5as 1trey 5-11fg 2-4ft
Hayward Gordon,Hayward,Gordon,Gordon Hayward,4285,20200209,1,33,"6,700",SF,bos,A,okc,112,111,34.55,13pt 10rb 4as 1bl 1to 2trey 5-10fg 1-2ft
Jackson Jaren,Jackson,Jaren,Jaren Jackson,5731,20200209,1,29.7,"6,400",PF,mem,A,was,106,99,30.2,14pt 11rb 1as 1bl 2to 1trey 6-16fg 1-2ft
Gallinari Danilo,Gallinari,Danilo,Danilo Gallinari,4082,20200209,1,29.5,"5,800",SF,okc,H,bos,111,112,31.28,24pt 5rb 1as 2to 3trey 8-14fg 5-6ft
Kornet Luke,Kornet,Luke,Luke Kornet,5240,20200209,1,29.4,"4,300",PF,chi,A,phi,111,118,29,25pt 2rb 1bl 1to 4trey 10-14fg 1-1ft
Porter Kevin,Porter,Kevin,Kevin Porter,5861,20200209,,29.3,"4,300",SF,cle,H,lac,92,133,27.58,17pt 4rb 3as 1st 1trey 8-14fg 0-1ft
Anderson Kyle,Anderson,Kyle,Kyle Anderson,4736,20200209,1,28,"4,300",SF,mem,A,was,106,99,29.8,16pt 5rb 2as 1st 7-9fg 2-2ft
House Danuel,House,Danuel,Danuel House,4916,20200209,1,28,"5,200",SF,hou,H,uta,113,114,36.12,10pt 5rb 4st 2trey 3-10fg 2-2ft
Hachimura Rui,Hachimura,Rui,Rui Hachimura,5868,20200209,1,26.7,"4,800",PF,was,H,mem,99,106,24.97,12pt 11rb 1as 1trey 5-13fg 1-2ft
Morris Marcus,Morris,Marcus,Marcus Morris,4407,20200209,1,25.8,"6,000",SF,lac,A,cle,133,92,21.85,10pt 4rb 2as 3st 1to 5-12fg
Love Kevin,Love,Kevin,Kevin Love,4074,20200209,1,25.8,"7,500",PF,cle,H,lac,92,133,25.77,10pt 9rb 2as 1st 1to 2trey 3-8fg 2-2ft
