Name,GID,Team,Opp,Home,NewGameFDP,LastFDP,AvgFDP,AvgPTS,LastPT,AvgMIN,LastMIN,AvgFGM,LastFGM,AvgFGA,LastFGA,Avg3PTS,Last3PTS,AvgREB,LastREB,AvgAST,LastAST,AvgSTL,AvgTOV,LastTOV,Date,Last3GameAvgFDP,Last3GameAvgMIN,Last3GameAvgPTS,position,Rank,TeamStdFDP,TeamAvgFDP,TeamMaxFDP
Robert Williams,5660,bos,tor,1,22.7,16.1,16.1,5.0,5,10.76666667,10.76666667,2.0,2,4.0,4,0.0,0,3.0,3,1.0,1,1.0,0.0,0,2019-10-24,16.1,10.76666667,5.0,C,belowAvg,8.930232226490395,23.128571428571423,38.0
Elfrid Payton,4699,nyk,bkn,0,15.8,40.4,40.4,11.0,11,26.05,26.05,4.0,4,9.0,9,1.0,1,2.0,2,8.0,8,5.0,0.0,0,2019-10-24,40.4,26.05,11.0,PG,top,12.568956466893608,35.966666666666654,55.2
Cory Joseph,4405,sac,por,1,12.8,20.2,20.2,10.0,10,20.88333333,20.88333333,3.0,3,6.0,6,0.0,0,1.0,1,4.0,4,1.0,3.0,3,2019-10-24,20.2,20.88333333,10.0,PG,average,8.0460578930957,20.728571428571428,32.0
Zach Collins,5155,por,sac,0,19.3,18.0,18.0,8.0,8,30.5,30.5,4.0,4,9.0,9,0.0,0,5.0,5,0.0,0,0.0,2.0,2,2019-10-24,18.0,30.5,8.0,PF,belowAvg,13.354007780794639,25.75714285714286,48.8
Kelly Oubre,4828,pho,den,0,39.6,40.3,40.3,21.0,21,30.06666667,30.06666667,8.0,8,17.0,17,1.0,1,9.0,9,1.0,1,1.0,2.0,2,2019-10-24,40.3,30.06666667,21.0,SF,top,12.453312812260034,29.266666666666666,46.2
Donovan Mitchell,5136,uta,lal,0,45.5,52.9,52.9,32.0,32,36.4,36.4,0.0,0,0.0,0,1.0,1,12.0,12,3.0,3,1.0,1.0,1,2019-10-24,52.9,36.4,32.0,SG,top,12.817024268960054,21.788888888888888,52.9
Jayson Tatum,5111,bos,tor,1,50.8,38.0,38.0,21.0,21,37.21666667,37.21666667,8.0,8,22.0,22,4.0,4,10.0,10,2.0,2,2.0,4.0,4,2019-10-24,38.0,37.21666667,21.0,PF,advanced,8.930232226490395,23.128571428571423,38.0
Terence Davis,5901,tor,bos,0,5.4,20.0,20.0,5.0,5,15.16666667,15.16666667,2.0,2,6.0,6,1.0,1,5.0,5,2.0,2,2.0,0.0,0,2019-10-24,20.0,15.16666667,5.0,SG,belowAvg,18.81761617664226,30.8625,62.1
Kyle Anderson,4736,mem,chi,1,28.5,15.6,15.6,4.0,4,20.83333333,20.83333333,2.0,2,4.0,4,0.0,0,8.0,8,0.0,0,1.0,1.0,1,2019-10-24,15.6,20.83333333,4.0,SG,belowAvg,6.555108270993276,20.577777777777776,30.7
Nikola Jokic,4772,den,pho,1,61.8,34.6,34.6,20.0,20,23.9,23.9,8.0,8,14.0,14,3.0,3,13.0,13,2.0,2,0.0,4.0,4,2019-10-24,34.6,23.9,20.0,C,advanced,10.255662392605906,23.81111111111111,36.0
