,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,Tm_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
23,Mo Bamba,C,21.0,ORL,44.0,0.0,15.3,2.2,4.8,0.455,0.6,1.8,0.32899999999999996,1.6,3.0,.530,0.516,0.5,0.7,.667,1.5,3.6,5.1,0.7,0.4,1.4,0.8,1.9,5.5,C,21.0,ORL,44.0,674,16.1,0.531,.371,.141,10.1,25.7,17.6,6.6,1.2,8.2,13.1,16.7,,0.3,1.4,1.7,.120,,-3.1,4.0,1.0,0.5
24,J.J. Barea,PG,35.0,DAL,15.0,4.0,15.9,3.6,7.8,0.462,1.4,3.1,0.457,2.2,4.7,.465,0.551,0.7,0.7,1.000,0.5,1.5,2.1,3.8,0.2,0.1,1.3,0.7,9.3,PG,35.0,DAL,15.0,238,19.8,0.5720000000000001,.393,.085,3.6,9.9,6.8,37.8,0.6,0.4,13.5,25.2,,0.7,0.1,0.8,.153,,3.1,-3.5,-0.4,0.1
25,Harrison Barnes,PF,27.0,SAC,48.0,48.0,34.9,5.0,11.2,0.449,1.3,3.6,0.34299999999999997,3.8,7.6,.500,0.505,3.3,4.2,.796,0.9,3.9,4.8,2.1,0.6,0.1,1.2,1.2,14.7,PF,27.0,SAC,48.0,1676,12.9,0.561,.325,.373,2.8,13.0,7.8,8.7,0.8,0.4,8.6,17.9,,2.1,0.8,2.9,.083,,-0.6,-1.3,-1.9,0.0
26,RJ Barrett,SG,19.0,NYK,41.0,41.0,31.2,5.1,13.0,0.39299999999999996,1.1,3.5,0.32899999999999996,4.0,9.5,.417,0.43700000000000006,2.7,4.5,.603,1.1,4.2,5.2,2.5,1.0,0.4,2.2,2.2,14.1,SG,19.0,NYK,41.0,1281,10.5,0.47,.268,.345,3.5,14.5,8.8,12.2,1.6,1.2,12.8,23.3,,-1.3,0.8,-0.5,-0.020,,-3.3,-0.7,-4.0,-0.7
27,Will Barton,SF,29.0,DEN,46.0,46.0,33.4,5.7,12.9,0.444,1.8,4.7,0.37200000000000005,4.0,8.1,.487,0.513,1.8,2.3,.759,1.5,5.0,6.5,3.8,1.1,0.5,1.4,2.0,15.0,SF,29.0,DEN,46.0,1537,15.9,0.539,.368,.182,4.8,16.5,10.6,16.5,1.7,1.4,9.4,19.8,,2.0,1.9,3.9,.122,,0.9,0.9,1.8,1.5
28,Keita Bates-Diop,SF,24.0,MIN,35.0,0.0,18.0,2.5,5.8,0.424,0.9,2.6,0.337,1.6,3.2,.495,0.5,1.3,1.9,.708,0.6,2.5,3.1,0.8,0.5,0.6,0.4,1.0,7.1,SF,24.0,MIN,35.0,630,12.9,0.5379999999999999,.453,.320,3.4,14.9,8.9,6.8,1.2,2.6,5.7,16.1,,0.6,0.5,1.1,.087,,-1.9,-0.4,-2.2,0.0
29,Nicolas Batum,SF,31.0,CHO,22.0,3.0,23.0,1.3,3.7,0.34600000000000003,0.6,2.2,0.28600000000000003,0.6,1.5,.438,0.43200000000000005,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,SF,31.0,CHO,22.0,505,9.2,0.46299999999999997,.605,.123,5.2,16.9,10.8,18.3,1.7,1.4,20.5,9.3,,0.2,0.4,0.5,.052,,-2.7,1.2,-1.4,0.1
30,Aron Baynes,C,33.0,PHO,33.0,25.0,22.9,4.4,9.0,0.49,1.3,3.8,0.33299999999999996,3.2,5.2,.605,0.56,1.3,1.8,.721,1.6,4.1,5.8,1.9,0.2,0.6,1.2,3.5,11.5,C,33.0,PHO,33.0,756,15.2,0.5820000000000001,.423,.205,7.7,20.3,13.9,12.5,0.4,2.2,10.7,20.4,,1.1,0.6,1.8,.113,,0.6,-0.4,0.2,0.4
31,Kent Bazemore,SF-SG,30.0,TOT,48.0,21.0,25.1,2.6,7.4,0.348,1.3,3.8,0.33299999999999996,1.3,3.6,.364,0.434,1.4,1.8,.791,0.4,3.6,4.0,1.3,1.0,0.7,1.4,2.8,7.9,SF-SG,30.0,TOT,48.0,1204,7.8,0.479,.514,.242,1.6,14.7,8.2,7.0,2.0,2.2,14.5,16.2,,-1.0,1.0,0.0,.000,,-3.2,0.5,-2.7,-0.2
32,Darius Bazley,PF,19.0,OKC,50.0,8.0,17.5,1.7,4.4,0.384,0.6,1.9,0.302,1.1,2.5,.447,0.45,0.6,0.8,.667,0.4,3.4,3.8,0.6,0.4,0.7,0.8,0.9,4.5,PF,19.0,OKC,50.0,873,8.0,0.474,.438,.192,2.6,20.8,12.0,4.5,1.0,3.3,14.1,13.9,,-0.8,1.2,0.4,.020,,-5.0,1.2,-3.8,-0.4
33,Bradley Beal,SG,26.0,WAS,40.0,40.0,35.5,9.7,21.5,0.45299999999999996,2.6,7.9,0.325,7.2,13.6,.528,0.513,6.7,7.9,.850,1.0,3.5,4.5,6.4,1.0,0.3,3.3,2.3,28.7,SG,26.0,WAS,40.0,1419,22.6,0.5760000000000001,.369,.366,3.0,11.1,6.9,29.7,1.2,0.8,11.5,32.9,,3.5,-0.1,3.4,.116,,5.2,-3.4,1.8,1.4
34,Malik Beasley,SG,23.0,DEN,39.0,0.0,17.9,2.7,7.1,0.386,1.4,3.7,0.363,1.4,3.4,.412,0.48200000000000004,0.8,0.9,.941,0.2,1.6,1.8,1.1,0.8,0.2,0.9,1.2,7.7,SG,23.0,DEN,39.0,698,10.3,0.512,.527,.123,1.4,10.0,5.7,8.6,2.1,0.8,10.7,20.2,,-0.1,0.8,0.6,.043,,-2.0,-1.4,-3.4,-0.2
35,Marco Belinelli,SG,33.0,SAS,42.0,0.0,15.3,2.0,5.4,0.376,1.0,2.9,0.355,1.0,2.5,.400,0.47100000000000003,0.7,0.9,.795,0.1,1.6,1.7,1.3,0.2,0.0,0.3,0.9,5.8,SG,33.0,SAS,42.0,642,9.6,0.502,.535,.173,0.5,11.2,5.9,11.6,0.6,0.0,5.4,17.3,,0.3,0.1,0.4,.029,,-1.3,-3.5,-4.7,-0.4
36,Jordan Bell,C,25.0,MIN,25.0,0.0,8.8,1.2,2.3,0.526,0.1,0.3,0.25,1.1,2.0,.571,0.544,0.7,1.2,.586,1.1,1.9,3.0,0.6,0.1,0.4,0.7,0.6,3.2,C,25.0,MIN,25.0,221,14.6,0.5660000000000001,.140,.509,12.8,23.4,17.9,9.3,0.4,3.4,20.5,16.4,,0.1,0.2,0.4,.078,,-3.6,0.4,-3.1,-0.1
37,DeAndre' Bembry,SG,25.0,ATL,43.0,4.0,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,.546,0.489,0.6,1.1,.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8,SG,25.0,ATL,43.0,915,9.7,0.5,.285,.211,3.9,14.0,8.9,12.4,2.8,1.7,19.4,14.0,,-0.5,0.8,0.3,.016,,-3.6,1.4,-2.2,0.0
38,Dragan Bender,SF,22.0,MIL,7.0,0.0,13.0,1.4,3.0,0.47600000000000003,0.6,1.3,0.444,0.9,1.7,.500,0.5710000000000001,0.3,0.4,.667,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7,SF,22.0,MIL,7.0,91,8.6,0.5820000000000001,.429,.143,0.0,20.5,10.9,12.3,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,.106,,-4.1,2.5,-1.6,0.0
